Name;Plx_est;PMRA_est;PMDe_est
Ferrero 0833-44             ;  0.12;  -0.75;   0.75
Ferrero 0833-44             ;  0.12;  -0.75;   0.75
Kronberger 100              ;  0.12;  -3.75;   3.75
Kronberger 100              ;  0.12;  -3.75;   3.75
Patchick 121                ;  0.12;  -5.25;   3.75
Patchick 121                ;  0.12;  -5.25;   3.75
Patchick 122                ;  0.38;  -3.75;   3.75
Patchick 122                ;  0.38;  -3.75;   3.75
Strottner 1                 ;  0.12;  -3.75;   2.25
Strottner 1                 ;  0.12;  -3.75;   2.25
Kronberger 106              ;  0.12;  -5.25;   2.25
Kronberger 106              ;  0.12;  -5.25;   2.25
Kronberger 113              ;  0.12;  -3.75;   2.25
Kronberger 113              ;  0.12;  -3.75;   2.25
Kronberger 119              ;  0.12;  -3.75;   2.25
Kronberger 119              ;  0.12;  -3.75;   2.25
Kronberger 122              ;  0.12;  -6.75;   2.25
Kronberger 122              ;  0.12;  -6.75;   2.25
Kronberger 134              ;  0.12;  -6.75;   2.25
Kronberger 134              ;  0.12;  -6.75;   2.25
Kronberger 137              ;  0.12;  -6.75;   2.25
Kronberger 137              ;  0.12;  -6.75;   2.25
Kronberger 143              ;  0.12;  -8.25;   0.75
Kronberger 143              ;  0.12;  -8.25;   0.75
Patchick 123                ;  0.12;  -5.25;   0.75
Patchick 123                ;  0.12;  -5.25;   0.75
